,id,location_id,trafficker_id,arrests,event_date,id,country,city_id,id,event_id,product_name,description,animal,quantity,weight_kg,price_usd,transportation_method
1,2,3,,3,17-Apr,3,Togo,,3,2,skin,,leopard,1,,,
2,2,3,,3,17-Apr,3,Togo,,4,2,tooth,,leopard,1,,,
3,2,3,,3,17-Apr,3,Togo,,1,2,tusk,,elephant,2,,,
4,2,3,,3,17-Apr,3,Togo,,2,2,tusk,,elephant,2,,,
5,3,4,,3,17-Apr,4,Congo,,10,3,skin,,python,783,,,
6,3,4,,3,17-Apr,4,Congo,,12,3,skin,,snake,1,,,
7,4,2,,,17-Apr,2,Uganda,,15,4,skin,,python,1,,,
10,7,4,,4,18-Apr,4,Congo,,,,,,,,,,
11,8,6,,,18-Apr,6,Mali,,26,8,skin,,leopard,1,,,
13,10,7,,4,18-Apr,7,Cameroon,,27,10,skin,,python,22,,,
17,14,5,,1,19-Apr,5,Gabon,,,,,,,,,,
18,15,8,,2,19-Apr,8,Senegal,,30,15,tusk,,elephant,5,,,
19,16,,,,19-Apr,,,,31,16,tusk,,elephant,1,,,
20,17,9,,1,19-Apr,9,Benin,,32,17,scale,,pangolin,1,,,
21,18,,,1,19-Apr,,,,35,18,bone,,lion,1,,,
22,18,,,1,19-Apr,,,,34,18,skin,,lion,3,,,
23,19,,,2,19-Apr,,,,36,19,skin,,leopard,1,,,
24,20,1,,1,19-Apr,1,Guinea,,37,20,skin,,leopard,2,,,
25,21,5,,1,19-Apr,5,Gabon,,41,21,skin,,leopard,1,,,
28,24,10,,2,19-Apr,10,Equatorial Guinea,,,,,,,,,,
30,26,4,,1,19-Apr,4,Congo,,,,,,,,,,
31,27,,,,19-Apr,,,,56,27,skin,,lion,3,,,
33,29,11,,1,20-Apr,11,Burkina Faso,,57,29,skin,,leopard,1,,,
34,30,7,,,20-Apr,7,Cameroon,,59,30,scale,,pangolin,1,50,,
35,31,7,,2,20-Apr,7,Cameroon,,,,,,,,,,
