,id,location_id,trafficker_id,event_date,id,country,city_id,id,event_id,product_name,description,animal,quantity,weight_kg,price_usd,transportation_method
0,3,4,,April 2020,4,Togo,,2,3,skin,,leopard,,,,
1,3,4,,April 2020,4,Togo,,3,3,skins,,leopard,,,,
2,14,11,,April 2021,11,Gabon,,16,14,skins,,leopard,4,,,
3,21,13,,August 2021,13,Lambaréné,,26,21,tusks,,python,two,,,
4,21,13,,August 2021,13,Lambaréné,,27,21,skin,,python,12,,,
5,21,13,,August 2021,13,Lambaréné,,28,21,scales,,monkey,12,,,
6,21,13,,August 2021,13,Lambaréné,,29,21,teeth,,leopard,12,,,
7,22,14,,August 2021,14,Senegal,,30,22,skins,,leopard,3,-1.0,,
8,23,15,,August 2021,15,Gabon,,32,23,skins,,leopard,2,,,
9,29,17,,August 2021,17,Lambaréné,,39,29,tusks,,pangolin,two,,,
10,29,17,,August 2021,17,Lambaréné,,40,29,skin,,pangolin,12,,,
11,29,17,,August 2021,17,Lambaréné,,41,29,scales,,pangolin,12,,,
12,29,17,,August 2021,17,Lambaréné,,42,29,teeth,,leopard,12,,,
13,30,18,,August 2021,18,Senegal,,43,30,skins,,leopard,3,-1.0,,
14,31,19,,August 2021,19,Cameroon,,45,31,skins,,leopard,2,,,
15,51,28,,February 2020,28,Gabon,,69,51,skins,,leopard,5,-1.0,,
16,81,47,,January 2021,47,Congo,,115,81,skin,,hippo,14,,,
17,81,47,,January 2021,47,Congo,,116,81,teeth,,hippo,14,,,
18,84,48,,January 2021,48,Gabon,,120,84,skin,,leopard,,,,
19,91,53,,this month,53,Senegal,,130,91,skins,,leopard,two,,,
20,91,53,,this month,53,Senegal,,131,91,scales,,pangolin,,,,
21,94,54,,this month,54,Cameroon,,132,94,skins,,leopard,24,,,
22,94,54,,this month,54,Cameroon,,133,94,skin,,leopard,,,,
23,97,56,,July 2021,56,Cameroun,,140,97,scales,,pangolin,,331 kg,,
24,97,56,,July 2021,56,Cameroun,,141,97,skins,,leopard,3,331 kg,,
25,100,59,,July 2021,59,Côte d'Ivoire,,142,100,skin,,leopard,one,,,
26,106,61,,June 2020,61,Ambam,,149,106,scales,,pangolin,,380 kg,,
27,110,65,,June 2020,65,Mali,,153,110,skins,,leopard,two,,,
28,117,69,,June 2021,69,Congo,,162,117,scales,,pangolin,,60 kg,,
29,121,70,,June 2021,70,Gabon,,166,121,tusks,,pangolin,3,5 kg,,
30,121,70,,June 2021,70,Gabon,,167,121,scales,,pangolin,,5 kg,,
31,123,71,,June 2021,71,Ndjolé,,169,123,tusks,,elephant,2,,,
32,125,75,,June 2021,75,Uganda,,173,125,skins,,leopard,2,-1.0,,
33,135,79,,March 2020,79,UCT,,186,135,teeth,,hippo,,20 kg,,
34,136,82,,March 2020,82,Cameroon,,187,136,ivory,,hippo,,,,
35,136,82,,March 2020,82,Cameroon,,188,136,scales,,pangolin,,3 kg,,
36,140,83,,March 2021,83,Congo,,194,140,scales,,pangolin,,109 kg,,
37,145,86,,March 2021,86,Benin,,202,145,skins,,hippo,17,,,
38,145,86,,March 2021,86,Benin,,203,145,skin,,hippo,17,,,
39,145,86,,March 2021,86,Benin,,204,145,teeth,,hippo,17,,,
40,147,88,,March 2021,88,Ghana,,207,147,tusks,,elephant,2,,,
41,148,89,,March 2021,89,Uganda,,209,148,skins,,crocodile,30,,,
42,152,91,,May 2020,91,Benin,,214,152,bones,,human,,-1.0,,
43,160,96,,May 2021,96,Côte d'Ivoire.,,229,160,tusks,,elephant,8,-1.0,,
44,161,98,,May 2021,98,Cameroon,,232,161,scales,,pangolin,,110 kg,,
45,173,103,,November 2021,103,Cameroon,,240,173,tusks,,elephant,2,,,
46,176,105,,November 2021,105,Cameroon,,243,176,tusks,,elephant,2,,,
47,176,105,,November 2021,105,Cameroon,,244,176,ivory,,leopard,8,,,
48,186,108,,October 2021,108,Togo,,254,186,tusks,,elephant,11,,,
49,186,108,,October 2021,108,Togo,,255,186,ivory,,elephant,,,,
50,189,113,,October 2021,113,Gabon,,257,189,skin,,hyena,,-1.0,,
51,204,123,,October 2020,123,Spain,,274,204,teeth,,whale,16,34 kg,,
52,205,126,,October 2020,126,Burkina Faso,,275,205,claws,,leopard,48,,,
53,205,126,,October 2020,126,Burkina Faso,,277,205,Ara Macaw,,parrot,,,,
54,206,127,,October 2020,127,Côte d'Ivoire,,279,206,tusks,,elephant,two,,,
